	0	0	1	1	1	1	2	2	3	3	4	4
1	один	one	одиннадцать	eleven	десять	ten	сто		тысяча		тма
2	два	two	двенадцать	twelve	двадцать	twenty	двести		две тысячи		двутма
3	три	three	тринадцать	thirteen	тридцать	thirty	триста		три тысячи		тритмы
4	четыре	four	четырнадцать	fourteen	сорок	fourty	четыреста		четыре тысячи		четыретмы
5	пять	five	пятнадцать	fifteen	пятьдесят	fifty	пятьсот		пять тысяч		пятьтем
6	шесть	six	шестнадцать	sixteen	шестьдесят	sixty	шестьсот		шесть тысяч		шестьтем
7	семь	seven	семнадцать	seventeen	семьдесят	seventy	семьсот		семь тысяч		семьтем
8	восемь	eight	восемнадцать	eighteen	восемьдесят	eighty	восемьсот		восемь тысяч		восемьтем
9	девять	nine	девятнадцать	nineteen	девятьдесят	ninety	девятьсот		девять тысяч		девятьтем
A	палять	feen	пальнадцать	feenteen	палятьдесят	feenty	палятьсот		палять тысяч		палятьтем
B	умь	cleven	умьнадцать	cleventeen	умьдесят	cleventy	умьсот		умь тысяч		умьтем
C	дюжень	dozen	дюженнадцать	dozenteen	дюженьдесят	dozenty	дюженьсот		дюжень тысяч		дюженьтем
D	змеень	dryke	змееннадцать	drykesteen	змееньдесят	dricty	змееньсот		змеень тысяч		змееньтем
E	леть	flix	летнадцать	flixteen	летьдесят	flixty	летьсот		леть тысяч		летьтем
F	сколеть	gly	сколетнадцать	glyteen	сколяносто	glity	сколетьсот		сколеть тысяч		сколетьтем
